0	70.709456	0.000106	63.493515	50.009606	158.765249
1	70.709721	0.000281	63.517090	50.007526	158.761947
2	70.709685	0.000038	63.497661	50.007810	158.762399
3	70.704745	0.005240	63.180906	50.046632	158.824011
4	70.680395	0.035594	63.879519	50.211949	159.086113
5	70.619408	0.060998	62.624722	50.527456	159.585139
6	70.503919	0.126288	68.354368	50.778678	159.981376
7	70.325759	0.215554	76.682049	50.863574	160.115054
8	70.123348	0.257440	81.322298	50.809093	160.029280
9	69.887465	0.353610	89.357712	50.625280	159.739548
10	69.596180	0.379423	91.053620	50.445441	159.455570
11	69.248796	0.477420	98.717007	50.179679	159.034984
12	68.884236	0.501705	100.690325	49.885164	158.567592
13	68.507196	0.548940	104.934111	49.499943	157.954165
14	68.062449	0.621111	110.842446	49.032051	157.205872
15	67.605795	0.643800	113.048177	48.509460	156.365865
16	67.081835	0.717154	118.905742	47.910242	155.397101
17	66.550866	0.738143	127.000000	47.231817	154.292942
18	66.037799	0.739423	127.000000	46.572046	153.211510
19	65.481796	0.810846	64.914842	45.804814	151.944259
20	64.942532	0.813899	63.466599	45.075284	150.729398
21	64.274460	0.941258	9.700738	44.312446	149.448511
22	63.697241	0.885971	-6.606259	43.485937	148.048206
23	63.011721	0.988064	13.077505	42.640504	146.602000
24	62.382163	0.946761	8.100457	41.965398	145.436832
25	61.676874	0.983583	8.512179	41.434371	144.513729
26	60.977577	0.977897	3.843382	41.220446	144.140185
27	60.205318	1.010506	-0.143716	41.417192	144.483767
28	59.519813	0.938533	41.739772	42.129982	145.721748
29	58.649044	1.171682	-67.418136	43.097420	147.385366
30	58.001216	0.786456	87.775590	44.716243	150.127892
31	57.402007	0.825947	88.179293	46.253481	152.686607
32	56.838167	0.822008	85.773422	47.649445	154.973576
33	56.260930	0.854204	83.873988	48.959770	157.089955
34	55.701403	0.835962	78.548490	50.157207	158.999370
35	55.176269	0.789812	71.794767	51.200260	160.644113
36	54.673447	0.844320	69.288287	51.996820	161.888919
37	54.082355	0.860611	74.509710	52.413949	162.536974
38	53.564417	0.798930	67.828013	52.635960	162.880843
39	52.930808	0.882402	77.396945	52.492848	162.659263
40	52.182409	0.940380	87.362830	52.032068	161.943781
41	51.445020	0.953809	87.056495	51.424616	160.995693
42	50.641356	0.982228	92.211610	50.634078	159.753427
43	49.802782	1.007989	96.057780	49.721563	158.307365
44	48.900741	1.035144	100.641841	48.673970	156.630782
45	47.956423	1.104784	104.325629	47.554554	154.819189
46	46.991823	1.085415	108.083995	46.395666	152.921109
47	46.022768	1.074080	109.114909	45.218345	150.968403
48	44.934509	1.199541	117.825934	43.933298	148.807779
49	43.853339	1.157582	118.245029	42.633129	146.589322
50	42.742849	1.180603	121.285817	41.320977	144.315847
51	41.574728	1.238375	126.487125	39.989953	141.972482
52	40.387176	1.269556	127.000000	38.670931	139.611452
53	39.184500	1.260215	127.000000	37.322832	137.156384
54	37.976585	1.224036	127.000000	35.917413	134.549241
55	36.754766	1.253682	127.000000	34.540898	131.945792
56	35.495108	1.312878	127.000000	33.197672	129.354799
57	34.151976	1.382526	127.000000	31.826607	126.655456
58	32.861334	1.303868	127.000000	30.477168	123.941297
59	31.519477	1.365541	127.000000	29.153243	121.219411
60	30.078163	1.463934	127.000000	27.788991	118.349144
61	28.702190	1.398984	127.000000	26.528003	115.632792
62	27.302046	1.417106	127.000000	25.274443	112.867662
63	25.951103	1.350950	127.000000	24.011848	110.012371
64	24.620368	1.336587	127.000000	22.865842	107.355014
65	23.261480	1.371182	105.143600	21.795927	104.813302
66	21.922995	1.350238	60.419073	20.821673	102.444004
67	20.724044	1.231752	69.172660	20.017029	100.445051
68	19.545180	1.180783	94.960436	19.014700	97.897921
69	18.484158	1.076384	52.408961	18.230634	95.858277
70	17.485344	1.049107	53.878136	17.428065	93.724539
71	16.441854	1.093060	59.369426	16.441697	91.033671
72	15.464398	1.022380	54.777998	15.405273	88.117757
73	14.459044	1.048504	54.341210	14.261364	84.783096
74	13.507994	0.997065	44.605512	13.136569	81.371011
75	12.588881	0.957349	33.589934	12.062205	77.972613
76	11.686178	0.949084	23.983703	11.038890	74.591861
77	10.825428	0.930276	15.900326	10.073535	71.255711
82	6.803264	0.730902	-25.819210	6.091116	55.408597
83	6.172658	0.678183	-34.861746	5.534458	52.816095
84	5.653070	0.596753	-127.000000	5.062423	50.513555
85	5.132428	0.652903	-40.506957	4.532285	47.795537
86	4.780322	0.586706	-46.842668	4.097672	45.446174
87	4.683327	0.263754	-7.608944	3.985062	44.817361
88	4.537688	0.217235	-7.642407	3.872481	44.179760
89	4.470124	0.106032	-2.235037	3.856066	44.086027
90	4.454331	0.118114	5.548049	3.861292	44.115891
91	4.448915	0.124967	1.916832	3.866513	44.145708
92	4.536174	0.230821	1.649631	3.898385	44.327284
93	4.604680	0.185098	0.369919	3.933887	44.528665
94	4.681007	0.202894	2.201198	3.970857	44.737414
95	4.672629	0.159103	-6.807193	3.959967	44.676024
96	4.631392	0.143625	1.384793	3.946676	44.600986
97	4.564627	0.185415	1.491116	3.904177	44.360198
98	4.443912	0.224832	-8.488504	3.809092	43.816679
99	4.370339	0.245226	-3.969841	3.733825	43.381615
100	4.256979	0.247763	-8.880548	3.632438	42.788576
101	4.108687	0.246988	-10.231944	3.505553	42.034609
102	3.974878	0.204820	-10.722985	3.402286	41.410849
103	3.880929	0.228019	-10.050485	3.297579	40.768648
104	3.811376	0.282542	-8.082116	3.170375	39.974592
105	3.706300	0.226103	-9.382566	3.047405	39.191676
